"","PD","PY","ND","NONE"
"1",1.5,0,0,0
"2",1.57,0,0,0
"3",2,0.06,0,0
"4",1.82,0,0,0
"5",1.56,0,0,0
"6",1.26,0,0.06,0.06
"7",1.57,0,0.38,0
"8",1.5,0,0.13,0.06
"9",1.57,0,0.19,0.12
"10",1.19,0,0.13,0
"11",1.05,0,0.06,0.12
"12",1.19,0,0,0.06
"13",0.87,0,0,0.25
"14",0.44,0,0.12,0.44
"15",0.44,0,0.13,0.37
"16",0.31,0,0.13,0.31
"17",0.68,0,0,0.44
"18",0.88,0,0.13,0.37
"19",0.7,0,0.06,0.26
"20",1.07,0,0.12,0
"21",1.25,0,0.18,0
"22",0.74,0,0.07,0.27
"23",0.58,0,0.16,0.08
"24",1.07,0,0.06,0.06
"25",1.38,0,0,0.06
"26",1.62,0,0,0
"27",1,0,0,0.25
"28",1.55,0,0,0.06
"29",0.94,0,0.13,0.18
"30",1.18,0.19,0.06,0.19
"31",1.24,0.06,0.12,0
"32",1.17,0.31,0.06,0
"33",0.93,0,0.13,0.06
"34",0.83,0,0.19,0.25
"35",0.94,0.13,0.06,0.25
"36",1.31,0.19,0,0.13
"37",1.13,0,0.06,0.13
"38",0.74,0.06,0.13,0.12
"39",0.76,0,0.13,0.19
"40",0.56,0,0.19,0.32
"41",1.06,0,0.19,0
"42",1.12,0.06,0,0.06
"43",0.43,0,0.31,0.19
"44",1.12,0,0.31,0.06
"45",1.05,0,0.19,0.25
"46",0.94,0,0,0.18
"47",1.38,0,0.06,0.06
"48",0.68,0,0.31,0.25
"49",1.39,0,0,0
"50",1.49,0,0,0
"51",0.81,0,0,0.38
"52",1.56,0,0,0
"53",1.06,0,0.06,0.31
"54",1.32,0.13,0,0.31
"55",1.06,0.06,0.06,0
"56",1.63,0.13,0,0
"57",0.93,0.06,0.25,0
"58",0.87,0,0.06,0.25
"59",1.06,0,0.06,0.26
"60",1.62,0.06,0,0.25
"61",1.26,0,0.06,0.31
"62",0.81,0,0.38,0.06
"63",0.62,0,0.13,0.44
"64",0.49,0,0.31,0.44
"65",0.87,0.06,0.19,0
"66",1.31,0.19,0,0
"67",0.92,0,0.25,0.06
"68",1.13,0,0.25,0
"69",0.81,0,0.19,0.38
"70",0.81,0,0,0.32
"71",1.25,0,0,0.12
"72",0.61,0,0.13,0.31
"73",1.32,0,0.25,0
"74",2.89,0,0.33,0.06
"75",1.44,0.12,0,0
"76",1.25,0,0.17,0.08
"77",1.07,0,0.13,0
"78",1.56,0,0,0
"79",1.61,0.06,0.06,0.06
"80",0.93,0.06,0,0.06
"81",2.51,0.12,0,0
"82",1.8125,0,0,0
"83",1.31,0.06,0.12,0.19
"84",1.77,0.06,0.06,0
"85",1.2,0,0.13,0.31
"86",2.33,0.13,0,0.19
"87",1.69,0,0.31,0
"88",2.13,0,0,0
"89",1.07,0.06,0.5,0.12
"90",1.06,0,0.19,0.19
"91",1.18,0,0.25,0.25
"92",2.24,0,0,0.25
"93",2.07,0,0.06,0.25
"94",1.19,0,0.38,0.06
"95",0.93,0,0.13,0.38
"96",0.9375,0,0.5625,0.25
"97",1.81,0,0.06,0.06
"98",2.63,0,0,0
"99",1.11,0,0.25,0.38
"100",1.45,0,0.38,0.06
"101",0.74,0.06,0.37,0.38
"102",1.11,0,0.25,0.19
"103",1.68,0,0.13,0.12
"104",1.31,0.06,0.13,0.25
"105",1.06,0,0.25,0.06
"106",1.44,0,0.06,0
"107",1.95,0.06,0.06,0
"108",1.62,0,0.06,0
"109",1.63,0,0,0
"110",1.32,0,0.06,0
"111",0.88,0,0.39,0.19
"112",1.19,0,0,0.13
"113",1,0,0.19,0.19
"114",1.42,0,0.06,0.13
"115",0.95,0,0.87,0
"116",1.5,0,0.13,0.06
"117",0.63,0,0.82,0
"118",0.87,0,0.44,0.19
"119",0.88,0.06,0.5,0.26
"120",1.44,0.13,0,0.06
"121",1.12,0.06,0.12,0.19
"122",0.94,0.25,0.63,0.12
"123",0.75,0.19,0.68,0.25
"124",0.82,0.06,1,0.19
"125",0.63,0.63,0.75,0
"126",2.07,0,0.12,0
"127",0.86,0,0.37,0.31
"128",0.56,0.06,1.06,0
"129",0.3,0.06,0.87,0.19
"130",0.75,0.06,0.63,0.12
"131",0.88,0.13,0.44,0.12
"132",0.62,0,0.5,0.31
"133",0.55,0.31,0.31,0.06
"134",0.75,0.06,0.51,0.12
"135",1.31,0,0.12,0
"136",1.12,0,0.69,0
